,num,label
0,0,VIOLATION OF COURT ORDER
1,1,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"
2,2,OTHER MISCELLANEOUS CRIME
3,3,"RAPE, ATTEMPTED"
4,4,SHOPLIFTING - PETTY THEFT ($950 & UNDER)
5,5,BURGLARY FROM VEHICLE
6,6,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT"
7,7,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"
8,8,BATTERY - SIMPLE ASSAULT
9,9,ROBBERY
10,10,BOMB SCARE
11,11,CHILD NEGLECT (SEE 300 W.I.C.)
12,12,INTIMATE PARTNER - AGGRAVATED ASSAULT
13,13,INTIMATE PARTNER - SIMPLE ASSAULT
14,14,THEFT PLAIN - PETTY ($950 & UNDER)
15,15,CRIMINAL THREATS - NO WEAPON DISPLAYED
16,16,ATTEMPTED ROBBERY
17,17,VANDALISM - MISDEAMEANOR ($399 OR UNDER)
18,18,BURGLARY
19,19,ARSON
20,20,"RAPE, FORCIBLE"
21,21,BRANDISH WEAPON
22,22,THROWING OBJECT AT MOVING VEHICLE
23,23,SHOPLIFTING-GRAND THEFT ($950.01 & OVER)
24,24,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT
25,25,SHOTS FIRED AT INHABITED DWELLING
26,26,VEHICLE - STOLEN
27,27,KIDNAPPING - GRAND ATTEMPT
28,28,CRIMINAL HOMICIDE
29,29,THEFT PLAIN - ATTEMPT
30,30,"THEFT, PERSON"
31,31,TRESPASSING
32,32,KIDNAPPING
33,33,VEHICLE - ATTEMPT STOLEN
34,34,BATTERY WITH SEXUAL CONTACT
35,35,DOCUMENT FORGERY / STOLEN FELONY
36,36,BATTERY POLICE (SIMPLE)
37,37,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT
38,38,DISTURBING THE PEACE
39,39,OTHER ASSAULT
40,40,VIOLATION OF RESTRAINING ORDER
41,41,LEWD CONDUCT
42,42,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
43,43,THEFT OF IDENTITY
44,44,ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER
45,45,CHILD ANNOYING (17YRS & UNDER)
46,46,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH
47,47,ORAL COPULATION
48,48,CRUELTY TO ANIMALS
49,49,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)
50,50,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD"
51,51,PEEPING TOM
52,52,INDECENT EXPOSURE
53,53,BIKE - STOLEN
54,54,"BURGLARY FROM VEHICLE, ATTEMPTED"
55,55,"BURGLARY, ATTEMPTED"
56,56,STALKING
57,57,THREATENING PHONE CALLS/LETTERS
58,58,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ"
59,59,"BUNCO, PETTY THEFT"
60,60,"BUNCO, GRAND THEFT"
61,61,VIOLATION OF TEMPORARY RESTRAINING ORDER
62,62,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)"
63,63,SEXUAL PENETRATION W/FOREIGN OBJECT
64,64,EXTORTION
65,65,PICKPOCKET
66,66,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)"
67,67,PURSE SNATCHING
68,68,WEAPONS POSSESSION/BOMBING
69,69,COUNTERFEIT
70,70,FALSE IMPRISONMENT
71,71,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)"
72,72,DISCHARGE FIREARMS/SHOTS FIRED
73,73,THEFT FROM PERSON - ATTEMPT
74,74,UNAUTHORIZED COMPUTER ACCESS
75,75,PANDERING
76,76,PIMPING
77,77,DRUNK ROLL - ATTEMPT
