,AREA_NAME,CRIME_GROUP,YEAR,Arrests,Reports,Population,SqMile,Arrests_Per_SqMile,Arrests_Per_10k_Pop,Reports_Per_SqMile,Reports_Per_10k_Pop
0,77TH STREET,Against Family/Child,2010,63,402.0,175000,11.9,5.29,3.6,33.78,22.97
1,77TH STREET,Against Family/Child,2011,39,320.0,175000,11.9,3.28,2.23,26.89,18.29
2,77TH STREET,Against Family/Child,2012,53,322.0,175000,11.9,4.45,3.03,27.06,18.4
3,77TH STREET,Against Family/Child,2013,45,300.0,175000,11.9,3.78,2.57,25.21,17.14
4,77TH STREET,Against Family/Child,2014,61,280.0,175000,11.9,5.13,3.49,23.53,16.0
5,77TH STREET,Against Family/Child,2015,67,248.0,175000,11.9,5.63,3.83,20.84,14.17
6,77TH STREET,Against Family/Child,2016,87,257.0,175000,11.9,7.31,4.97,21.6,14.69
7,77TH STREET,Against Family/Child,2017,99,270.0,175000,11.9,8.32,5.66,22.69,15.43
8,77TH STREET,Against Family/Child,2018,100,271.0,175000,11.9,8.4,5.71,22.77,15.49
9,77TH STREET,Against Family/Child,2019,58,238.0,175000,11.9,4.87,3.31,20.0,13.6
10,77TH STREET,Against Family/Child,2020,73,189.0,175000,11.9,6.13,4.17,15.88,10.8
11,77TH STREET,Against Family/Child,2021,80,148.0,175000,11.9,6.72,4.57,12.44,8.46
12,77TH STREET,Against Family/Child,2022,75,149.0,175000,11.9,6.3,4.29,12.52,8.51
13,77TH STREET,Against Family/Child,2023,58,99.0,175000,11.9,4.87,3.31,8.32,5.66
14,77TH STREET,Aggravated Assault,2010,830,1188.0,175000,11.9,69.75,47.43,99.83,67.89
15,77TH STREET,Aggravated Assault,2011,832,1108.0,175000,11.9,69.92,47.54,93.11,63.31
16,77TH STREET,Aggravated Assault,2012,765,1099.0,175000,11.9,64.29,43.71,92.35,62.8
17,77TH STREET,Aggravated Assault,2013,718,978.0,175000,11.9,60.34,41.03,82.18,55.89
18,77TH STREET,Aggravated Assault,2014,748,1232.0,175000,11.9,62.86,42.74,103.53,70.4
19,77TH STREET,Aggravated Assault,2015,767,1478.0,175000,11.9,64.45,43.83,124.2,84.46
20,77TH STREET,Aggravated Assault,2016,798,1681.0,175000,11.9,67.06,45.6,141.26,96.06
21,77TH STREET,Aggravated Assault,2017,796,1694.0,175000,11.9,66.89,45.49,142.35,96.8
22,77TH STREET,Aggravated Assault,2018,846,1569.0,175000,11.9,71.09,48.34,131.85,89.66
23,77TH STREET,Aggravated Assault,2019,796,1627.0,175000,11.9,66.89,45.49,136.72,92.97
24,77TH STREET,Aggravated Assault,2020,760,1901.0,175000,11.9,63.87,43.43,159.75,108.63
25,77TH STREET,Aggravated Assault,2021,757,1747.0,175000,11.9,63.61,43.26,146.81,99.83
26,77TH STREET,Aggravated Assault,2022,695,1699.0,175000,11.9,58.4,39.71,142.77,97.09
27,77TH STREET,Aggravated Assault,2023,356,952.0,175000,11.9,29.92,20.34,80.0,54.4
28,77TH STREET,Burglary,2010,245,1289.0,175000,11.9,20.59,14.0,108.32,73.66
29,77TH STREET,Burglary,2011,298,1270.0,175000,11.9,25.04,17.03,106.72,72.57
30,77TH STREET,Burglary,2012,284,1295.0,175000,11.9,23.87,16.23,108.82,74.0
31,77TH STREET,Burglary,2013,240,1291.0,175000,11.9,20.17,13.71,108.49,73.77
32,77TH STREET,Burglary,2014,225,1029.0,175000,11.9,18.91,12.86,86.47,58.8
33,77TH STREET,Burglary,2015,185,956.0,175000,11.9,15.55,10.57,80.34,54.63
34,77TH STREET,Burglary,2016,177,791.0,175000,11.9,14.87,10.11,66.47,45.2
35,77TH STREET,Burglary,2017,136,986.0,175000,11.9,11.43,7.77,82.86,56.34
36,77TH STREET,Burglary,2018,144,946.0,175000,11.9,12.1,8.23,79.5,54.06
37,77TH STREET,Burglary,2019,143,705.0,175000,11.9,12.02,8.17,59.24,40.29
38,77TH STREET,Burglary,2020,118,493.0,175000,11.9,9.92,6.74,41.43,28.17
39,77TH STREET,Burglary,2021,87,557.0,175000,11.9,7.31,4.97,46.81,31.83
40,77TH STREET,Burglary,2022,52,491.0,175000,11.9,4.37,2.97,41.26,28.06
